"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,8,"Nou Barris",53,"la Trinitat Nova","4 dones o més",113
2019,8,"Nou Barris",54,"Torre Baró","4 dones o més",46
2019,8,"Nou Barris",55,"Ciutat Meridiana","4 dones o més",207
2019,8,"Nou Barris",56,"Vallbona","4 dones o més",18
2019,9,"Sant Andreu",57,"la Trinitat Vella","4 dones o més",153
2019,9,"Sant Andreu",58,"Baró de Viver","4 dones o més",42
2019,9,"Sant Andreu",59,"el Bon Pastor","4 dones o més",144
2019,9,"Sant Andreu",60,"Sant Andreu","4 dones o més",358
2019,9,"Sant Andreu",61,"la Sagrera","4 dones o més",274
2019,9,"Sant Andreu",62,"el Congrés i els Indians","4 dones o més",143
2019,9,"Sant Andreu",63,"Navas","4 dones o més",211
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","4 dones o més",360
2019,10,"Sant Martí",65,"el Clot","4 dones o més",198
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","4 dones o més",133
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","4 dones o més",61
2019,10,"Sant Martí",68,"el Poblenou","4 dones o més",250
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","4 dones o més",90
2019,10,"Sant Martí",70,"el Besòs i el Maresme","4 dones o més",332
2019,10,"Sant Martí",71,"Provençals del Poblenou","4 dones o més",164
2019,10,"Sant Martí",72,"Sant Martí de Provençals","4 dones o més",240
2019,10,"Sant Martí",73,"la Verneda i la Pau","4 dones o més",263
2019,1,"Ciutat Vella",1,"el Raval","Cap home",3929
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Cap home",1759
2019,1,"Ciutat Vella",3,"la Barceloneta","Cap home",1908
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap home",2871
2019,2,"Eixample",5,"el Fort Pienc","Cap home",3289
2019,2,"Eixample",6,"la Sagrada Família","Cap home",6095
2019,2,"Eixample",7,"la Dreta de l'Eixample","Cap home",5080
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap home",5275
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap home",6845
2019,2,"Eixample",10,"Sant Antoni","Cap home",4402
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Cap home",4073
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap home",99
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Cap home",2545
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap home",1088
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Cap home",1668
2019,3,"Sants-Montjuïc",16,"la Bordeta","Cap home",1789
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Cap home",2495
2019,3,"Sants-Montjuïc",18,"Sants","Cap home",4585
2019,4,"Les Corts",19,"les Corts","Cap home",5006
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap home",2332
2019,4,"Les Corts",21,"Pedralbes","Cap home",932
